Word  |  Frequency  |  Frequency (%)
всё  |  41  |  0.0169895%
графу  |  41  |  0.0169895%
гусар  |  41  |  0.0169895%
другого  |  41  |  0.0169895%
жне  |  41  |  0.0169895%
зем  |  41  |  0.0169895%
кака  |  41  |  0.0169895%
каким  |  41  |  0.0169895%
легко  |  41  |  0.0169895%
одну  |  41  |  0.0169895%
офицера  |  41  |  0.0169895%
просто  |  41  |  0.0169895%
слушал  |  41  |  0.0169895%
Кто  |  40  |  0.0165751%
дорогу  |  40  |  0.0165751%
оно  |  40  |  0.0165751%
отча  |  40  |  0.0165751%
последнее  |  40  |  0.0165751%
посто  |  40  |  0.0165751%
почему  |  40  |  0.0165751%
равно  |  40  |  0.0165751%
самых  |  40  |  0.0165751%
тобой  |  40  |  0.0165751%
улыбнулась  |  40  |  0.0165751%
успел  |  40  |  0.0165751%
хотела  |  40  |  0.0165751%
чувствовала  |  40  |  0.0165751%
p  |  39  |  0.0161607%
Багратиона  |  39  |  0.0161607%
Ипполит  |  39  |  0.0161607%
Наташей  |  39  |  0.0161607%
далеко  |  39  |  0.0161607%
дам  |  39  |  0.0161607%
дороге  |  39  |  0.0161607%
мес  |  39  |  0.0161607%
наши  |  39  |  0.0161607%
нии  |  39  |  0.0161607%
почувствовал  |  39  |  0.0161607%
прошу  |  39  |  0.0161607%
слов  |  39  |  0.0161607%
хочу  |  39  |  0.0161607%
tout  |  38  |  0.0157463%
Бога  |  38  |  0.0157463%
Болконского  |  38  |  0.0157463%
Вера  |  38  |  0.0157463%
Его  |  38  |  0.0157463%
Несмотр  |  38  |  0.0157463%
Отчего  |  38  |  0.0157463%
Очень  |  38  |  0.0157463%
Петербург  |  38  |  0.0157463%
Сперанский  |  38  |  0.0157463%
адъютант  |  38  |  0.0157463%
большой  |  38  |  0.0157463%
всеми  |  38  |  0.0157463%
маленькой  |  38  |  0.0157463%
мало  |  38  |  0.0157463%
начала  |  38  |  0.0157463%
наших  |  38  |  0.0157463%
право  |  38  |  0.0157463%
прошел  |  38  |  0.0157463%
руке  |  38  |  0.0157463%
страх  |  38  |  0.0157463%
такого  |  38  |  0.0157463%
Il  |  37  |  0.015332%
si  |  37  |  0.015332%
весьма  |  37  |  0.015332%
именно  |  37  |  0.015332%
кабинет  |  37  |  0.015332%
минут  |  37  |  0.015332%
мысль  |  37  |  0.015332%
ночь  |  37  |  0.015332%
оба  |  37  |  0.015332%
отвеча  |  37  |  0.015332%
офицеров  |  37  |  0.015332%
положении  |  37  |  0.015332%
скорее  |  37  |  0.015332%
страшно  |  37  |  0.015332%
Безухова  |  36  |  0.0149176%
Билибин  |  36  |  0.0149176%
Старый  |  36  |  0.0149176%
батюшка  |  36  |  0.0149176%
близко  |  36  |  0.0149176%
главнокомандующего  |  36  |  0.0149176%
делал  |  36  |  0.0149176%
жить  |  36  |  0.0149176%
коли  |  36  |  0.0149176%
командира  |  36  |  0.0149176%
кому  |  36  |  0.0149176%
обн  |  36  |  0.0149176%
плечами  |  36  |  0.0149176%
поцеловал  |  36  |  0.0149176%
просить  |  36  |  0.0149176%
руках  |  36  |  0.0149176%
самый  |  36  |  0.0149176%
сзади  |  36  |  0.0149176%
смотреть  |  36  |  0.0149176%
собак  |  36  |  0.0149176%
столь  |  36  |  0.0149176%
утра  |  36  |  0.0149176%
хочешь  |  36  |  0.0149176%
чувству  |  36  |  0.0149176%
шагами  |  36  |  0.0149176%
Разве  |  35  |  0.0145032%
вопросительно  |  35  |  0.0145032%
домой  |  35  |  0.0145032%
дочь  |  35  |  0.0145032%
ехал  |  35  |  0.0145032%
испытывал  |  35  |  0.0145032%
кий  |  35  |  0.0145032%
могло  |  35  |  0.0145032%
ногу  |  35  |  0.0145032%
остановилась  |  35  |  0.0145032%
пол  |  35  |  0.0145032%
полка  |  35  |  0.0145032%
потер  |  35  |  0.0145032%
русские  |  35  |  0.0145032%
самой  |  35  |  0.0145032%
самом  |  35  |  0.0145032%
случилось  |  35  |  0.0145032%
столу  |  35  |  0.0145032%
тоном  |  35  |  0.0145032%
хотите  |  35  |  0.0145032%
хоть  |  35  |  0.0145032%
ю  |  35  |  0.0145032%
C  |  34  |  0.0140888%
К  |  34  |  0.0140888%
виноват  |  34  |  0.0140888%
войск  |  34  |  0.0140888%
вошла  |  34  |  0.0140888%
говорите  |  34  |  0.0140888%
должна  |  34  |  0.0140888%
другим  |  34  |  0.0140888%
мире  |  34  |  0.0140888%
нула  |  34  |  0.0140888%
особенности  |  34  |  0.0140888%
раза  |  34  |  0.0140888%
сколько  |  34  |  0.0140888%
составл  |  34  |  0.0140888%
строго  |  34  |  0.0140888%
уехал  |  34  |  0.0140888%
prince  |  33  |  0.0136744%
se  |  33  |  0.0136744%
России  |  33  |  0.0136744%
армию  |  33  |  0.0136744%
веро  |  33  |  0.0136744%
вспомнил  |  33  |  0.0136744%
главное  |  33  |  0.0136744%
год  |  33  |  0.0136744%
денег  |  33  |  0.0136744%
деревне  |  33  |  0.0136744%
здоровье  |  33  |  0.0136744%
идти  |  33  |  0.0136744%
испуганно  |  33  |  0.0136744%
любить  |  33  |  0.0136744%
людьми  |  33  |  0.0136744%
навстречу  |  33  |  0.0136744%
никому  |  33  |  0.0136744%
ногами  |  33  |  0.0136744%
общества  |  33  |  0.0136744%
плать  |  33  |  0.0136744%
полку  |  33  |  0.0136744%
